Quarter,Android,iOS,Symbian,BlackBerry,Microsoft,Bada,Others,Smartphones,Total
07Q1,0.00,0.00,15844.00,2080.00,2931.00,0.00,4087.00,24942.00,259039.00,
07Q2,0.00,270.00,18273.00,2471.00,3212.00,0.00,3628.00,27854.00,272604.00,
07Q3,0.00,1104.00,20644.00,3192.00,4180.00,0.00,3612.00,32732.00,291142.00,
07Q4,0.00,1928.00,22903.00,4025.00,4373.00,0.00,3536.00,36765.00,330055.00,
08Q1,0.00,1726.00,18400.00,4312.00,3858.00,0.00,4113.00,32409.00,294283.00,
08Q2,0.00,893.00,18405.00,5594.00,3874.00,0.00,3456.00,32222.00,304722.00,
08Q3,0.00,4720.00,18179.00,5800.00,4053.00,0.00,3763.00,36515.00,308532.00,
08Q4,0.00,4079.00,17949.00,7443.00,4714.00,0.00,3958.00,38143.00,314708.00,
09Q1,575.30,3848.10,17825.30,7533.60,3738.70,0.00,2986.40,36507.40,269120.00,
09Q2,755.90,5325.00,20880.80,7782.20,3829.70,0.00,2398.20,40971.80,286122.00,
09Q3,1424.50,7040.40,18314.80,8522.70,3259.90,0.00,2531.00,41093.30,308895.00,
09Q4,4042.70,8676.20,23857.40,10508.10,4202.70,0.00,2516.50,53803.60,347103.00,
10Q1,5226.60,8359.70,24067.70,10752.50,3696.20,0.00,2402.90,54505.60,359605.00,
10Q2,10652.70,8743.00,25386.80,11628.80,3058.80,577.00,2010.90,62058.00,367987.00,
10Q3,20544.00,13484.40,29480.10,12508.30,2203.90,920.60,1991.30,81132.60,417086.00,
10Q4,30801.20,16011.10,32642.10,14762.00,3419.30,2026.80,1487.90,101150.40,452037.00,
11Q1,36350.10,16883.20,27598.50,13004.00,2582.10,1862.20,1495.00,99775.10,427846.00,
11Q2,46775.90,19628.80,23853.20,12652.30,1723.80,2055.80,1050.60,107740.40,428661.00,
11Q3,60490.40,17295.30,19500.10,12701.10,1701.90,2478.50,1018.10,115185.40,440502.00,
11Q4,75906.10,35456.00,17458.40,13184.50,2759.00,3111.10,1166.50,149041.60,476555.00,
12Q1,81067.40,33120.50,12466.90,9939.30,2712.50,3842.20,1242.90,144391.70,419108.00,
12Q2,98529.30,28935.00,9071.50,7991.20,4087.00,4208.80,863.30,153686.10,419008.00,
12Q3,122480.00,23550.30,4404.90,8946.80,4058.20,5054.70,683.70,169178.60,427729.50,
12Q4,144720.30,43457.40,2569.10,7333.00,6185.50,2684.00,713.10,207662.40,472076.40,
13Q1,156186.00,38331.80,1349.40,6218.60,5989.20,1370.80,600.30,210046.10,425821.60
